"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04137","hsa04137","Mitophagy - animal","28/2744","72/8586",0.128011217940828,0.350729922325683,0.264019713510821,"65018/3725/338382/9451/22808/4286/8878/2309/10370/5071/54543/285973/665/5970/664/10133/23710/643246/84749/8408/7316/192111/3091/11345/81631/1869/84557/6237",28
"hsa05223","hsa05223","Non-small cell lung cancer","28/2744","72/8586",0.128011217940828,0.350729922325683,0.264019713510821,"10000/8503/1647/238/5290/5915/1950/5295/2309/1026/1021/4233/1956/572/595/3799/5979/5925/6655/207/5579/5578/2064/6776/1869/4616/5582/3718",28
"hsa05231","hsa05231","Choline metabolism in cancer","37/2744","98/8586",0.130138973048236,0.353684144493997,0.266243569648769,"3725/10000/8503/204962/8527/5290/5337/5156/56034/1950/5159/6583/6584/5295/6582/6580/1607/9162/1956/139189/9468/5900/23446/80310/1606/160851/2353/6655/207/3091/5579/5578/5881/8612/5582/5155/5880",37
"hsa04962","hsa04962","Vasopressin-regulated water reabsorption","18/2744","44/8586",0.133294099536028,0.359360892349132,0.270516867268908,"148327/5567/1781/109/9586/64764/10488/360/90993/5869/112/397/1783/5878/6844/361/551/84699",18
"hsa05163","hsa05163","Human cytomegalovirus infection","80/2744","225/8586",0.136009790507959,0.363772217469699,0.273837589911596,"2786/148327/5743/10000/5567/8503/55970/3570/3716/3554/109/7852/3685/3579/9475/5290/111/5530/5156/3576/4790/108/5734/5295/3105/3134/115004/1026/9586/107/54205/2792/1021/64764/1956/2185/114/5533/10488/7186/23365/90993/5331/2785/595/5970/6387/355/112/4193/5829/5925/5732/6655/207/54331/4792/5330/11214/567/6376/2775/8717/113/5579/2793/5608/5578/5881/6347/3690/4773/1869/5332/2788/2767/5582/84699/5600/5880",80
"hsa00330","hsa00330","Arginine and proline metabolism","20/2744","50/8586",0.142532092199809,0.378215079301856,0.284709773892698,"8659/79814/113451/29920/501/8974/262/4129/6303/4128/283208/57571/5033/4842/112849/1152/1159/224/4843/5625",20
"hsa04915","hsa04915","Estrogen signaling pathway","50/2744","137/8586",0.145760159354146,0.383759169549588,0.288883210562083,"3765/148327/3725/10000/5567/8503/109/5443/5290/111/108/5295/1839/3326/2911/2289/2099/9586/107/2852/64764/1956/114/9568/10488/3762/90993/5331/112/3875/2288/2353/6655/207/5330/4313/2775/113/5914/3860/3866/3880/3857/3861/3872/4318/5332/25759/84699/3763",50
"hsa04340","hsa04340","Hedgehog signaling pathway","22/2744","56/8586",0.15028080661624,0.389574090997484,0.293260521413068,"55733/23432/5567/339745/4036/91653/132884/2121/64399/2737/23288/2619/50937/595/51684/2735/894/53944/64750/409/1954/157",22
"hsa05134","hsa05134","Legionellosis","22/2744","56/8586",0.15028080661624,0.389574090997484,0.293260521413068,"9554/7100/1378/3329/1195/5861/7097/2921/3576/4790/51128/54205/7099/3606/5970/664/840/4791/317/4792/29108/718",22
"hsa00380","hsa00380","Tryptophan metabolism","17/2744","42/8586",0.153715563693632,0.395436221104991,0.297673369627684,"8564/1545/316/23498/8942/1962/501/11185/438/4129/4128/3620/38/55526/1543/224/2639",17
"hsa01232","hsa01232","Nucleotide metabolism","32/2744","85/8586",0.155464224118771,0.396904875212316,0.298778931520125,"26289/978/2987/271/51727/1841/6241/284958/8833/956/5167/4907/3614/8623/3251/9583/9615/954/158067/6240/144811/122481/51292/4860/1854/79077/4833/4832/56953/7083/124583/51816",32
"hsa04070","hsa04070","Phosphatidylinositol signaling system","36/2744","97/8586",0.162080369126039,0.410684845078759,0.309152108898894,"3707/8503/8527/3628/5290/8821/5295/117283/8871/1607/9162/55613/139189/4952/54928/55529/5331/3636/3632/51196/55361/5288/1606/160851/3705/5330/3706/5579/5578/113026/3613/5332/5582/80271/8897/8867",36
"hsa04979","hsa04979","Cholesterol metabolism","20/2744","51/8586",0.167110900079085,0.417386909489312,0.314197236254644,"6646/6272/255738/338/8647/4036/1593/57552/4043/948/4023/6770/19/4035/3931/9388/51129/348/341/706",20
"hsa04066","hsa04066","HIF-1 signaling pathway","40/2744","109/8586",0.167202471160407,0.417386909489312,0.314197236254644,"54583/10000/4878/8503/3570/5290/1950/4790/817/253314/5295/815/1906/1026/5054/2056/1956/285/7010/7099/3939/5970/80201/5209/5214/3098/3945/4055/3479/2321/207/3091/3480/5579/5578/230/2064/4843/5582/3162",40
"hsa05100","hsa05100","Bacterial invasion of epithelial cells","29/2744","77/8586",0.169336618717536,0.419606180204483,0.315867841415837,"8503/10092/10459/998/10096/2335/1496/10109/5290/3059/79658/55752/23176/1212/5295/858/57180/857/4233/653857/2017/3611/3688/3678/5829/71/25759/8218/55964",29
"hsa00604","hsa00604","Glycosphingolipid biosynthesis - ganglio series","7/2744","15/8586",0.171109101632436,0.420903410584898,0.316844360302859,"81849/8869/2720/6482/27090/6489/29906",7
"hsa04742","hsa04742","Taste transduction","32/2744","86/8586",0.174875051130589,0.42704994370296,0.321471299179801,"1131/3352/5567/83756/5028/2554/3350/3354/2911/3351/8645/2914/5137/2556/114/9568/954/5331/3359/5024/9033/255022/5153/6337/22953/112/775/2558/5330/6340/40/5332",32
"hsa04950","hsa04950","Maturity onset diabetes of the young","11/2744","26/8586",0.177023137862354,0.429185593234627,0.323078956643902,"2494/3280/222546/168620/2645/3174/5080/3087/50674/3175/3171",11
"hsa00310","hsa00310","Lysine degradation","24/2744","63/8586",0.179962446370252,0.431929770373439,0.325144696735902,"63976/56950/23127/5351/7799/79823/2122/1962/5352/80854/93166/501/8985/10157/58508/6839/8424/38/55526/79723/123688/224/51268/2639",24
"hsa05202","hsa05202","Transcriptional misregulation in cancer","68/2744","193/8586",0.181382869537985,0.431929770373439,0.325144696735902,"1031/85414/4914/1647/4211/4613/7048/604/5468/4291/4286/51274/8842/890/3576/4790/1436/4208/860/8352/8354/8968/8353/8357/8355/1026/51384/4233/3486/2115/2138/5327/8013/330/7704/329/2313/5970/4005/3087/5328/6935/648/1848/894/4193/3479/8900/2321/6495/51804/2530/64919/3480/9915/4094/5914/3728/8148/2118/4318/958/4066/4616/3560/861/7113/2078",68
"hsa00071","hsa00071","Fatty acid degradation","17/2744","43/8586",0.182000081284951,0.431929770373439,0.325144696735902,"1376/33/1962/8310/130/2180/501/23305/2182/38/1374/35/1632/224/37/51/2639",17
"hsa04930","hsa04930","Type II diabetes mellitus","18/2744","46/8586",0.186359848358491,0.439183698579101,0.330605251780613,"8503/777/5581/3667/5290/776/5295/2645/8471/774/3767/6833/80201/3098/775/8660/8651/8913",18
"hsa05214","hsa05214","Glioma","28/2744","75/8586",0.189024327886763,0.442369434012772,0.333003384654313,"10000/8503/1647/5290/5156/1950/817/5159/5295/815/1026/1021/1956/595/57118/4193/3479/5925/6655/207/3480/5579/5578/1869/4616/5582/25759/5155",28
"hsa05323","hsa05323","Rheumatoid arthritis","34/2744","93/8586",0.198096241973562,0.460402989966141,0.34657854312616,"1435/7042/3725/3552/6372/3600/7097/6374/2921/3576/3117/3119/3123/50617/537/7010/7099/3606/4312/6387/2321/10673/8600/2353/7043/527/9114/8741/6347/8792/3589/3383/7040/54",34
"hsa00240","hsa00240","Pyrimidine metabolism","22/2744","58/8586",0.19981394561714,0.461214381321755,0.347189335931729,"1806/978/51727/1841/6241/284958/790/7372/956/5167/4907/8623/9583/6240/1854/79077/4833/1723/4832/56953/7083/124583",22
"hsa03450","hsa03450","Non-homologous end-joining","6/2744","13/8586",0.208164914040836,0.471697286220163,0.355080574665186,"7520/10111/2237/4361/3981/2547",6
"hsa03440","hsa03440","Homologous recombination","16/2744","41/8586",0.208554586489033,0.471697286220163,0.355080574665186,"6118/8438/10111/6119/7516/25788/10714/80198/4361/675/5888/641/79728/6117/672/5424",16
"hsa05219","hsa05219","Bladder cancer","16/2744","41/8586",0.208554586489033,0.471697286220163,0.355080574665186,"3576/1950/1839/1026/1956/4312/595/4193/5925/7057/23604/4313/2064/4318/1869/1613",16
"hsa04144","hsa04144","Endocytosis","86/2744","250/8586",0.219389138219403,0.491436565229328,0.369939753928684,"9829/10092/64744/116983/51100/998/8853/30845/26056/10096/23550/10109/7852/3579/7456/51652/10254/9922/7048/5337/378/5156/2868/116984/64411/2264/1601/1212/3105/3134/3482/9265/858/57180/116988/857/653857/644150/1956/23096/30011/50807/51160/92421/6456/89853/51510/138429/7046/10938/116985/7189/3799/2869/8729/51019/8411/79720/5869/4193/116986/440073/51028/6457/3480/4088/4734/55737/50855/5878/9744/64750/409/84440/11031/57403/55738/27131/83737/23624/30846/9266/8218/157/26286/3560",86
"hsa04666","hsa04666","Fc gamma R-mediated phagocytosis","35/2744","97/8586",0.220198579672488,0.491436565229328,0.369939753928684,"10000/8503/10092/998/8853/5581/10096/10109/5290/5337/4651/5295/4082/85477/57180/653857/50807/6850/7410/2934/5058/3636/9846/207/1073/5579/5578/8877/3055/8612/7409/56848/5582/3985/5880",35
"hsa00531","hsa00531","Glycosaminoglycan degradation","8/2744","19/8586",0.236639127520673,0.524653855095175,0.394944804241566,"3373/2720/10855/3425/411/3423/138050/2799",8
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","101/2744","297/8586",0.238737995272333,0.525847741220761,0.395843528452923,"7133/7292/1435/7042/943/11009/4803/656/3570/3604/151449/10913/57007/3554/130399/659/7852/3579/2660/3552/7048/53833/3556/93/55540/768211/6372/3600/658/6374/2921/3576/2690/3575/27190/1436/85480/133396/3572/9547/653/27242/53832/3624/2056/10344/60401/1896/3598/3597/1438/8795/8793/8797/392255/9966/1271/3590/338376/7046/3606/23529/2662/4838/6387/3601/355/9573/3626/920/94/4055/55504/10673/8600/652/7043/3603/6376/51330/1489/9235/27189/8741/6347/2689/8742/8792/650/655/8200/958/3589/7040/10148/9518/3976/115650/1439/3560/3454",101
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","32/2744","89/8586",0.240386808772574,0.526041263352971,0.395989206522149,"55509/3725/10000/8503/3932/3716/238/7535/5290/5530/7097/1950/4790/5295/1956/5533/3717/29126/7099/116071/7189/5970/5588/920/2353/207/3091/4792/10125/5608/4773/5600",32
"hsa00340","hsa00340","Histidine metabolism","9/2744","22/8586",0.246174890438114,0.535231858565448,0.402907630530292,"3176/501/4129/4128/138199/57571/222/144193/224",9
"hsa01212","hsa01212","Fatty acid metabolism","21/2744","57/8586",0.254604030636724,0.549534994722203,0.41367463291598,"1376/5538/64834/33/1962/8310/79966/79071/2180/23305/3295/60481/54898/2182/38/1374/9200/35/37/2194/51",21
"hsa04062","hsa04062","Chemokine signaling pathway","66/2744","192/8586",0.256913830659812,0.549534994722203,0.41367463291598,"2786/2268/10000/5567/8503/5906/55970/998/109/7852/3579/9475/5290/111/6372/2868/6374/2921/3576/4790/108/3702/5295/9547/2309/107/2792/10344/2185/114/7410/3717/10235/5058/5331/572/2785/5970/2869/6387/112/5829/6773/6655/207/54331/4792/5330/6376/113/5579/2793/146850/409/23533/5881/6347/57580/3055/5332/2788/7409/25759/3718/157/5880",66
"hsa03250","hsa03250","Viral life cycle - HIV-1","23/2744","63/8586",0.257645487139787,0.549534994722203,0.41367463291598,"7514/7852/8850/4131/27125/22936/23534/11168/23299/920/5901/4130/80237/5045/25939/684/9582/27350/200316/60489/140564/4599/4600",23
"hsa05131","hsa05131","Shigellosis","84/2744","247/8586",0.262343036567327,0.551968370319087,0.41550641026675,"64121/7100/3725/10000/8503/10092/824/998/5581/10096/3554/10109/9475/30849/5290/3059/55752/5481/3576/4790/23176/8878/831/5295/10318/2309/8352/115004/8354/8968/8353/8357/8355/9265/54205/57180/58498/653857/1956/10325/7094/7186/7099/3606/5331/2017/3611/837/960/7189/5970/80201/3688/664/5588/51196/3098/3678/643246/7316/4193/5829/207/87/4792/5330/83660/29108/8717/81631/55062/113026/71/10627/103910/10892/10398/5332/84557/826/718/9266/5600/55964",84
"hsa04662","hsa04662","B cell receptor signaling pathway","30/2744","84/8586",0.263593756138797,0.551968370319087,0.41550641026675,"3725/10000/8503/1380/5290/5530/27071/4790/5295/84433/695/5533/6850/7410/8519/3636/5970/29760/2353/6655/207/4792/930/5579/5881/974/10892/4773/7409/5880",30
"hsa04142","hsa04142","Lysosome","46/2744","132/8586",0.264380374209917,0.551968370319087,0.41550641026675,"5538/1520/2517/6272/3373/2720/27074/4126/950/3425/411/1212/3482/8763/50617/3423/8905/3920/537/2717/9583/427/138050/1508/20/1075/8722/6609/53/2799/1203/2581/1512/8120/23659/527/9114/968/22901/1497/8907/10053/54/1777/8218/410",46
"hsa04659","hsa04659","Th17 cell differentiation","38/2744","108/8586",0.265337910954576,0.551968370319087,0.41550641026675,"3725/3932/6097/3570/3716/3554/7535/7048/3556/5530/4790/3572/3326/3117/3119/3123/196/5533/3717/7046/5970/5588/2625/920/2353/3091/4792/4088/5914/6776/4773/7040/10148/3718/7297/5600/3560/861",38
"hsa05143","hsa05143","African trypanosomiasis","14/2744","37/8586",0.272631569057863,0.563661587561348,0.42430873841101,"4878/2150/3620/3606/5331/355/5330/3040/5579/5578/5332/3383/7064/5582",14
"hsa00520","hsa00520","Amino sugar and nucleotide sugar metabolism","18/2744","49/8586",0.281892000479096,0.579253683911313,0.436046034117215,"5236/606495/80896/51706/55577/7360/9945/2762/2645/5973/91373/51700/80201/3098/64841/197258/2584/1727",18
"hsa05417","hsa05417","Lipid and atherosclerosis","73/2744","215/8586",0.285440622367175,0.580982894004887,0.43734773529651,"3725/22926/10000/142678/8503/5906/1573/4688/998/338/10010/3329/9451/9475/5290/5468/5530/7097/2921/3576/10333/4790/817/3308/5295/815/3326/54205/948/27035/5533/8795/8797/7410/3717/19/3309/7186/7099/25833/3606/5331/572/4312/7189/5970/840/355/4973/317/51135/2353/207/3306/4792/7187/5330/1543/29108/5608/5578/2081/6347/4773/3929/4318/5332/958/7409/1555/3383/5452/5600",73
"hsa04213","hsa04213","Longevity regulating pathway - multiple species","22/2744","61/8586",0.286582703535526,0.580982894004887,0.43734773529651,"10000/5567/8503/109/3667/5290/111/108/5295/2309/107/51422/8471/114/1410/23411/112/3479/8660/207/3480/113",22
"hsa05221","hsa05221","Acute myeloid leukemia","24/2744","67/8586",0.287905469729425,0.580982894004887,0.43734773529651,"10000/8503/83439/5290/890/51176/3815/4790/1436/5295/5292/11040/572/7704/595/5970/1848/8900/6655/207/5914/3728/6776/861",24
"hsa05132","hsa05132","Salmonella infection","84/2744","249/8586",0.292422369786121,0.586585348916208,0.441565107258492,"7100/64746/3725/338382/10000/6281/10092/998/83439/10096/1781/388/7277/10109/9475/55207/5290/2317/3836/7097/51176/3576/10333/4790/399/3326/4646/9265/54205/5420/57180/58498/2318/653857/6990/51209/2316/5063/79792/8795/8797/11258/7186/7099/79026/330/6188/3606/5058/837/329/7189/5970/3799/840/5288/10376/7846/5869/51135/57381/2353/113146/55860/207/4792/302/1783/197259/29108/8717/10381/5608/5878/71/84617/10627/103910/10398/1434/10382/6237/9266/5600",84
"hsa04658","hsa04658","Th1 and Th2 cell differentiation","32/2744","92/8586",0.315072231804853,0.621602552680434,0.46792508260498,"3725/4853/3932/3716/864/6775/7535/5530/4790/3117/3119/3123/5533/3717/84441/5970/5588/2625/920/2353/3714/4792/4094/6776/182/4773/11317/10683/3718/7297/5600/3560",32
"hsa04610","hsa04610","Complement and coagulation cascades","30/2744","86/8586",0.316059955329565,0.621602552680434,0.46792508260498,"462/2153/725/1380/1378/7035/5648/5627/2160/3426/2151/2149/2161/5054/5327/966/5328/2/715/719/2155/5104/624/3687/7448/10544/7056/5329/728/718",30
"hsa04973","hsa04973","Carbohydrate digestion and absorption","17/2744","47/8586",0.316292082277117,0.621602552680434,0.46792508260498,"477/10000/8503/481/83756/5290/776/5295/5331/80201/3098/207/5330/5579/482/5332/478",17
"hsa05140","hsa05140","Leishmaniasis","27/2744","77/8586",0.317257089201883,0.621602552680434,0.46792508260498,"7042/3725/5743/4688/3716/1378/3676/3552/7097/4790/3117/3119/3123/3717/7099/7189/5970/3688/51135/2353/7043/4792/5579/4843/7040/718/5600",27
"hsa00730","hsa00730","Thiamine metabolism","6/2744","15/8586",0.337895380688805,0.653837680866373,0.492190788970158,"26289/249/251/158067/122481/79178",6
"hsa04972","hsa04972","Pancreatic secretion","35/2744","102/8586",0.338536544646193,0.653837680866373,0.492190788970158,"6548/477/1131/5906/481/9635/5320/493/6344/109/111/491/952/8671/108/6558/107/114/1056/3784/5331/3778/112/5330/487/113/5579/489/5578/482/5874/5332/5582/478/50487",35
"hsa00564","hsa00564","Glycerophospholipid metabolism","34/2744","99/8586",0.339529952972152,0.653837680866373,0.492190788970158,"9926/5320/2820/23175/129642/8527/151056/150763/5337/64850/79888/154141/1607/43/9162/139189/9468/375775/11145/196051/1103/2819/1606/160851/122618/54947/23659/3931/9663/64900/8612/23646/50487/56894",34
"hsa04912","hsa04912","GnRH signaling pathway","32/2744","93/8586",0.341501406765116,0.653897579999114,0.492235879368379,"3725/5567/998/109/10746/5337/111/776/817/108/1958/815/1839/107/1956/778/2185/114/5331/112/775/4323/6655/5330/4313/113/5579/5608/5578/5332/2767/5600",32
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","50/2744","148/8586",0.344622774392584,0.656146186272887,0.493928567520742,"3765/2786/5743/2563/5567/55970/109/11343/111/776/108/2554/2568/2890/2566/2561/2569/2570/2911/1268/107/2792/2556/778/55879/114/774/57084/3762/5331/2785/112/775/54331/2558/2562/2567/5330/2775/113/5579/2793/5578/5332/140679/2788/57030/5582/5600/3763",50
"hsa05211","hsa05211","Renal cell carcinoma","24/2744","69/8586",0.348917155526888,0.66059034501439,0.497274006398463,"7042/54583/3725/10000/8503/5906/998/2034/5062/5290/5295/1026/4233/5063/5058/572/2113/7043/6655/207/3091/9915/7040/5155",24
"hsa04730","hsa04730","Long-term depression","21/2744","60/8586",0.351278597403046,0.66134573924484,0.497842646128398,"2982/5593/2895/2890/2911/10842/1392/2977/5331/5592/4842/3479/5330/3480/2775/5579/5578/5332/2767/5582/6261",21
"hsa04152","hsa04152","AMPK signaling pathway","41/2744","121/8586",0.356055793247316,0.666615568468587,0.50180962674037,"148327/10000/8503/3667/5210/5290/5468/10891/79966/5522/890/5295/2309/9586/948/51422/64764/8471/148/5862/10488/2203/51552/5526/90993/1374/595/23411/5209/5214/8408/32/3479/8900/81617/8660/207/3480/2194/1149/84699",41
"hsa04145","hsa04145","Phagosome","51/2744","152/8586",0.364582912807159,0.678809069701727,0.510988554734082,"9554/7059/23673/338382/1520/4688/9341/1781/7277/3685/3693/29927/7097/10333/3673/7060/3105/8417/3134/3117/3119/3123/948/50617/3920/537/7099/4360/3688/4973/3678/8411/715/10376/7846/5869/4842/7057/1783/527/10381/9114/11151/5878/71/9902/3690/81035/84617/10382/718",51
"hsa05152","hsa05152","Tuberculosis","60/2744","180/8586",0.371801125054274,0.688444940347749,0.51824216968236,"7042/1263/1520/10000/3716/1378/3329/843/3552/3656/5530/7097/7096/10333/4790/817/972/815/3117/3119/3123/54205/50617/3920/537/5533/6850/3717/64170/7099/23365/3606/572/7189/5970/4360/8411/7421/4801/5869/317/51135/7043/207/3687/527/8717/9114/11151/64127/5878/8877/9902/4843/10892/3929/56848/7040/718/5600",60
"hsa00562","hsa00562","Inositol phosphate metabolism","25/2744","73/8586",0.378947614778215,0.68854098643086,0.518314470497695,"3707/3628/23007/5290/8821/8871/55613/4952/138429/5331/3636/3632/51196/55361/5288/3705/4329/5330/3706/113026/3613/5332/80271/8897/8867",25
"hsa04140","hsa04140","Autophagy - animal","55/2744","165/8586",0.379522402065662,0.68854098643086,0.518314470497695,"64121/84938/338382/10000/5567/8503/51100/10010/3667/9451/8837/5861/22808/30849/5290/8878/5295/8417/285973/115201/116442/10325/8471/3920/11152/64798/1508/572/7189/664/5588/10133/23710/643246/8408/7316/8660/207/3091/53349/440275/3480/23604/11345/81631/81671/55062/9706/2081/58476/84557/6237/1613/8897/9342",55
"hsa04917","hsa04917","Prolactin signaling pathway","24/2744","70/8586",0.380501097306081,0.68854098643086,0.518314470497695,"10000/8503/1154/5290/4790/3659/5295/2309/2099/2645/3717/595/7054/5970/894/8600/2353/6655/207/8651/6776/8792/25759/5600",24
"hsa04722","hsa04722","Neurotrophin signaling pathway","40/2744","119/8586",0.381634465349002,0.68854098643086,0.518314470497695,"9261/3725/4803/10000/4914/8503/5906/6272/7161/998/3667/57498/3656/5290/4790/817/5295/815/6196/2309/9500/6197/4915/627/572/7189/5970/4908/11213/11108/397/51135/6655/207/4792/4916/4145/25759/4909/5600",40
"hsa04720","hsa04720","Long-term potentiation","23/2744","67/8586",0.382068737277658,0.68854098643086,0.518314470497695,"5567/5906/5530/817/2890/815/6196/2911/107/6197/114/5533/2902/5331/5502/10411/5501/775/5330/5579/5578/5332/5582",23
"hsa05213","hsa05213","Endometrial cancer","20/2744","58/8586",0.386849516503257,0.69344833543403,0.52200858609902,"10000/8503/1647/83439/1496/5290/51176/1950/5295/2309/1026/1956/572/3611/595/6655/207/2064/10297/4616",20
"hsa00051","hsa00051","Fructose and mannose metabolism","12/2744","34/8586",0.399725251793591,0.708921042646278,0.533656008988764,"3795/5210/2762/2203/80201/5209/5214/3098/57103/6652/197258/230",12
"hsa04976","hsa04976","Bile secretion","30/2744","89/8586",0.399783663400395,0.708921042646278,0.533656008988764,"6548/477/5567/481/8647/6344/109/57552/111/7364/7363/8671/108/3781/6550/6580/10864/107/5243/358/114/10599/112/6579/123264/113/8714/482/361/478",30
"hsa00920","hsa00920","Sulfur metabolism","4/2744","10/8586",0.403227389544799,0.708921042646278,0.533656008988764,"8991/54928/58472/23474",4
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","64/2744","194/8586",0.404430114504355,0.708921042646278,0.533656008988764,"2786/9261/3725/5743/10000/8503/55970/3716/83439/5290/5530/2247/51176/2921/3576/4790/7098/5295/3572/3105/3134/1026/54205/2792/1021/5533/285/6850/3717/7186/2785/595/5970/355/643246/7316/6773/5925/2353/207/3091/54331/4792/7187/8717/81631/2793/5608/146850/23533/57580/4773/1869/3055/84557/2788/7538/3383/718/7297/5155/5600/3454/1827",64
"hsa00360","hsa00360","Phenylalanine metabolism","6/2744","16/8586",0.40599929148585,0.708921042646278,0.533656008988764,"4129/4128/222/5053/8639/314",6
"hsa04931","hsa04931","Insulin resistance","36/2744","108/8586",0.414516391363915,0.720061978812574,0.542042595326661,"148327/10000/8503/11000/5581/3667/5290/10891/4790/133522/9945/5295/6196/9586/948/51422/64764/51085/6197/79660/10488/5837/90993/1374/5970/5588/5501/32/9882/8660/207/4792/11001/5579/5834/84699",36
"hsa00565","hsa00565","Ether lipid metabolism","17/2744","50/8586",0.430220694460738,0.743509610427019,0.559693319109516,"5320/151056/5337/7368/79888/7941/5168/11145/122618/54947/79153/284161/387521/8612/23646/50487/9514",17
"hsa05169","hsa05169","Epstein-Barr virus infection","66/2744","202/8586",0.439402851434421,0.755503882313264,0.568722272801801,"965/3725/10000/8503/1647/3716/1380/864/10018/3280/5290/956/890/7097/4790/6502/5295/3105/3134/3117/3119/1026/7128/3123/54205/1021/695/9134/6850/7186/960/595/7189/5970/7431/29760/355/4791/894/4940/317/4193/51135/6773/8900/5925/207/4792/7187/4734/567/930/8717/5608/9020/11317/1869/958/898/3383/4616/2208/3718/7297/5600/3454",66
"hsa05340","hsa05340","Primary immunodeficiency","13/2744","38/8586",0.442599284588737,0.757136847240632,0.569951523301554,"3932/7535/926/925/3575/695/29760/920/7374/930/958/3718/115650",13
"hsa00640","hsa00640","Propanoate metabolism","11/2744","32/8586",0.44979397312646,0.761711401726718,0.573395120462718,"1962/8801/8310/3939/3945/35/32/5095/4329/51/84532",11
"hsa04215","hsa04215","Apoptosis - multiple species","11/2744","32/8586",0.44979397312646,0.761711401726718,0.573395120462718,"666/10018/54205/330/329/840/317/332/5414/5366/79444",11
"hsa04392","hsa04392","Hippo signaling pathway - multiple species","10/2744","29/8586",0.453745058860982,0.764560424180754,0.575539785186824,"25937/166824/7005/5058/7003/8642/83937/7004/84962/122786",10
"hsa04012","hsa04012","ErbB signaling pathway","28/2744","85/8586",0.463364498487153,0.77659726256594,0.584600781753527,"3725/10000/8503/27/2066/5062/5290/374/1950/817/5295/815/1839/1026/1956/5063/3084/5058/572/10718/6655/207/5579/5578/2064/6776/5582/25759",28
"hsa04630","hsa04630","JAK-STAT signaling pathway","54/2744","166/8586",0.466148520901371,0.77659726256594,0.584600781753527,"11009/10000/8503/3570/3716/6775/316/10254/53833/1154/5290/5156/3600/1950/2690/3575/5159/85480/5295/133396/3572/53832/1026/5292/2056/1956/3598/3597/2273/1438/3717/1271/3590/338376/23529/595/3601/894/6773/6655/207/1489/8651/6776/2670/2689/3589/3718/7297/3976/5155/1439/3560/3454",54
"hsa04913","hsa04913","Ovarian steroidogenesis","17/2744","51/8586",0.468754676921268,0.77659726256594,0.584600781753527,"5743/5567/1573/1545/109/111/108/107/114/6770/8644/112/3479/3480/1543/113/3294",17
"hsa05034","hsa05034","Alcoholism","61/2744","188/8586",0.470106354787691,0.77659726256594,0.584600781753527,"2786/148327/5567/8349/55970/111/3015/1812/9555/2030/8352/8344/8354/8336/8348/8334/8968/8353/8331/8363/8362/8357/8329/8340/8345/8355/8970/8969/8294/85236/9586/2792/64764/9734/4129/4128/286436/10013/1392/10488/2902/4915/627/90993/2785/3014/7054/6571/55315/5501/6655/54331/2775/84152/2793/5173/2788/25759/84699/2354/83933",61
"hsa00450","hsa00450","Selenocompound metabolism","6/2744","17/8586",0.473411109925376,0.778241678267569,0.585838652077102,"1491/51540/92935/11185/22929/7296",6
"hsa02010","hsa02010","ABC transporters","15/2744","45/8586",0.477216371336824,0.780688918157815,0.587680866081628,"24/26154/8647/154664/5243/215/22/19/20/64137/6833/10060/8714/23461/10349",15
"hsa00513","hsa00513","Various types of N-glycan biosynthesis","14/2744","42/8586",0.481841579043614,0.784447401631391,0.590510147721897,"199857/10905/57134/11282/4121/7991/2683/79796/283358/25834/2530/4122/83539/64377",14
"hsa00790","hsa00790","Folate biosynthesis","9/2744","27/8586",0.511164003666567,0.821976804122099,0.618761236274952,"249/251/1719/5805/7054/8644/5053/55034/873",9
"hsa01040","hsa01040","Biosynthesis of unsaturated fatty acids","9/2744","27/8586",0.511164003666567,0.821976804122099,0.618761236274952,"64834/8310/79966/79071/3295/60481/54898/9200/51",9
"hsa04672","hsa04672","Intestinal immune network for IgA production","16/2744","49/8586",0.512211064883207,0.821976804122099,0.618761236274952,"3676/7852/3600/3117/3119/3123/6387/3601/4055/10673/9020/8741/958/7040/8174/115650",16
"hsa04114","hsa04114","Oocyte meiosis","42/2744","131/8586",0.52316873382199,0.832611746038766,0.626766924239708,"991/5567/10459/64682/699/109/151648/111/4085/5530/132864/817/108/9232/80315/995/891/815/6196/26271/107/6197/286151/114/5533/9134/5526/387778/9126/983/9700/5501/112/3479/9133/3480/9088/5347/113/6790/898/5600",42
"hsa04940","hsa04940","Type I diabetes mellitus","14/2744","43/8586",0.523779496024387,0.832611746038766,0.626766924239708,"5798/3329/2571/3552/1363/3105/3134/3117/3119/3123/3382/5799/5551/355",14
"hsa03083","hsa03083","Polycomb repressive complex","27/2744","84/8586",0.526827916358812,0.833525858276618,0.627455042463423,"22823/1912/51460/3720/221937/10389/6322/63035/54880/54881/11091/84333/84458/57713/648/29915/1911/10138/84678/64319/57332/9212/84733/8535/80816/171023/23492",27
"hsa01250","hsa01250","Biosynthesis of nucleotide sugars","12/2744","37/8586",0.537193565561109,0.845954353243429,0.636810867192461,"5236/55577/7360/9945/2762/2645/91373/80201/3098/64841/197258/2584",12
"hsa04710","hsa04710","Circadian rhythm","11/2744","34/8586",0.544812875753466,0.853962507576363,0.64283918265158,"6097/8863/4862/8553/51422/4783/6096/406/79365/26224/1628",11
