,Wi-iPSC-1,Wi-iPSC-2,Wi-iPSC-3,H11-iPSC-1,H11-iPSC-2,H11-iPSC-3
ENSG00000269978,8,0,7,10,4,1
ENSG00000049245,1117,785,912,1118,1137,865
ENSG00000269925,2,2,9,9,3,6
ENSG00000049246,455,182,233,244,142,100
ENSG00000236266,4,3,3,1,2,2
ENSG00000049247,0,1,1,0,5,1
ENSG00000049249,0,2,0,0,0,3
ENSG00000270330,0,0,0,0,0,0
ENSG00000116288,6336,5529,3953,5270,6231,5478
ENSG00000200344,0,0,0,0,0,1
ENSG00000116285,1098,982,1482,1266,1659,1798
ENSG00000238290,1,0,3,1,0,0
ENSG00000232848,0,0,0,0,0,0
ENSG00000229305,0,0,1,0,0,0
ENSG00000227634,0,0,0,0,0,0
ENSG00000200975,0,0,0,0,0,0
ENSG00000233645,0,0,0,0,3,0
ENSG00000251977,0,0,0,0,0,0
ENSG00000162426,72,81,65,132,137,82
ENSG00000252254,0,0,0,0,1,0
ENSG00000142599,2929,1790,2318,2738,2134,2530
ENSG00000232912,0,2,0,1,0,0
ENSG00000221083,0,0,0,0,1,0
ENSG00000270282,0,0,1,3,0,0
ENSG00000234619,0,0,1,0,1,1
ENSG00000224315,0,1,0,1,0,0
ENSG00000222511,2,0,1,0,0,0
ENSG00000226545,0,2,1,0,0,0
ENSG00000228423,0,0,0,0,0,0
ENSG00000229716,0,0,0,0,0,0
ENSG00000074800,87336,54494,40702,57158,68515,59452
ENSG00000274258,0,0,0,0,0,0
ENSG00000236269,2,3,6,8,5,14
ENSG00000230679,3,1,4,5,5,1
ENSG00000201725,0,0,0,0,0,0
ENSG00000238249,0,2,0,0,0,0
ENSG00000232208,0,0,0,0,1,1
ENSG00000232663,0,0,0,0,0,0
ENSG00000131686,0,1,1,0,0,0
ENSG00000265141,0,0,0,0,0,0
ENSG00000197241,0,0,1,0,4,0
ENSG00000142583,2,3,0,1,0,2
ENSG00000252404,0,0,0,0,0,0
ENSG00000180758,113,62,133,152,131,121
ENSG00000228526,49,22,468,182,51,53
ENSG00000234546,14,14,32,27,36,20
ENSG00000281937,3,1,4,4,0,1
ENSG00000049239,641,482,487,545,434,273
ENSG00000171621,337,152,102,164,153,113
ENSG00000235263,0,0,0,0,0,0
ENSG00000171612,1090,830,541,849,1020,727
ENSG00000231181,0,5,3,3,1,2
ENSG00000188807,925,672,662,971,876,776
ENSG00000171608,1612,710,690,923,526,531
ENSG00000179840,0,0,0,0,3,0
ENSG00000233268,0,0,0,0,0,0
ENSG00000231789,123,218,68,114,128,84
ENSG00000171603,5492,3205,3383,5491,3694,3611
ENSG00000271264,0,0,0,0,0,0
ENSG00000280113,0,1,0,1,3,0
ENSG00000178585,2157,1557,1298,1758,1694,1332
ENSG00000223989,0,0,0,0,0,0
ENSG00000162441,423,275,310,266,260,280
ENSG00000228150,5,6,7,8,10,7
ENSG00000173614,120,78,81,92,65,54
ENSG00000202415,5,2,4,1,5,2
ENSG00000283611,0,0,0,2,0,0
ENSG00000265521,0,0,0,0,1,0
ENSG00000241326,0,0,0,0,0,0
ENSG00000162444,138,110,79,75,68,42
ENSG00000130939,3540,1867,2758,3049,2579,3182
ENSG00000224340,0,0,0,1,0,0
ENSG00000233623,2,0,0,0,0,1
ENSG00000201746,0,0,1,1,0,0
ENSG00000054523,3995,1923,2839,2681,2237,2712
ENSG00000264881,0,0,0,0,0,0
ENSG00000199562,0,0,1,0,0,0
ENSG00000264501,0,0,0,0,0,0
ENSG00000142657,10975,7776,5861,8311,8916,8746
ENSG00000271989,0,3,4,1,2,2
ENSG00000251503,20,20,14,20,25,16
ENSG00000175279,180,156,87,133,162,113
ENSG00000241563,3,6,4,3,15,5
ENSG00000160049,3222,3293,3022,3082,4321,3182
ENSG00000203469,0,0,0,0,0,0
ENSG00000142655,914,696,572,768,869,728
ENSG00000243267,0,0,0,0,2,0
ENSG00000130940,202,89,122,184,116,225
ENSG00000272078,28,35,19,30,62,57
ENSG00000225158,0,1,0,0,0,0
ENSG00000175262,13,12,6,8,1,4
ENSG00000215785,0,0,3,0,0,0
ENSG00000120948,3771,3044,3120,3877,4500,4549
ENSG00000277726,0,0,0,2,0,0
ENSG00000009724,9,9,40,39,14,7
ENSG00000271895,5,17,33,26,19,7
ENSG00000116649,3769,3765,2780,3527,4943,4408
ENSG00000171824,2633,1523,1711,1852,1715,1937
ENSG00000226849,0,2,4,4,2,0
ENSG00000230337,20,21,10,14,19,14
ENSG00000198793,3749,1402,2785,3061,2161,3125
ENSG00000225602,0,2,0,0,0,0
ENSG00000253086,0,0,0,0,0,0
ENSG00000171819,1,0,0,0,0,0
ENSG00000207451,0,0,0,0,0,0
ENSG00000238173,0,0,0,0,0,0
ENSG00000120942,1008,672,542,781,790,805
ENSG00000238199,0,1,0,0,1,0
ENSG00000224338,0,0,0,0,0,0
ENSG00000204624,170,73,134,161,73,76
ENSG00000235643,0,0,0,0,0,3
ENSG00000116661,1978,1981,1205,1494,1749,1135
ENSG00000132879,566,493,548,602,518,423
ENSG00000116663,25,37,29,50,41,18
ENSG00000116670,5361,5371,3205,3580,4241,3649
ENSG00000162490,1304,598,525,701,615,693
ENSG00000177674,1415,1853,821,1431,1627,1023
ENSG00000215910,11,5,24,5,6,2
ENSG00000177553,1,0,1,1,0,0
ENSG00000177000,515,290,343,435,299,366
ENSG00000011021,638,395,483,732,453,491
ENSG00000242349,3,3,0,8,10,8
ENSG00000276470,0,0,0,0,0,0
ENSG00000278852,0,0,0,0,0,0
ENSG00000175206,0,0,0,7,1,1
ENSG00000275915,0,0,0,0,0,0
ENSG00000120937,0,2,15,27,16,12
ENSG00000224904,0,0,0,0,0,0
ENSG00000199347,4,0,0,1,0,0
ENSG00000201801,1,0,1,0,0,1
ENSG00000116685,1682,1354,1310,1724,2093,1878
ENSG00000083444,2290,1565,1300,2306,2125,1684
ENSG00000116688,3004,1424,1785,2315,2053,2238
ENSG00000270914,0,0,0,0,0,0
ENSG00000116691,1536,1487,891,1500,1371,1136
ENSG00000202461,0,1,3,3,0,0
ENSG00000276869,1,0,0,1,0,1
ENSG00000243539,0,0,0,0,0,0
ENSG00000120949,620,572,426,808,679,666
ENSG00000201135,1,0,1,0,0,0
ENSG00000227875,0,0,0,0,0,0
ENSG00000028137,93,76,107,129,77,80
ENSG00000263676,0,0,0,0,0,0
ENSG00000225196,0,0,0,0,0,0
ENSG00000252969,0,0,0,0,0,0
ENSG00000048707,864,401,849,934,629,953
ENSG00000239149,0,4,2,11,9,0
ENSG00000229484,0,0,0,0,0,0
ENSG00000162496,1067,850,343,984,1052,703
ENSG00000221340,0,0,0,2,7,0
ENSG00000276830,0,0,0,1,0,0
ENSG00000272482,5,4,1,6,7,8
ENSG00000204518,0,0,0,2,0,3
ENSG00000226166,0,0,0,0,0,0
ENSG00000188984,8,12,86,116,145,180
ENSG00000157330,0,1,0,5,2,1
ENSG00000116726,0,0,0,0,0,2
ENSG00000116721,0,0,0,0,0,0
ENSG00000228338,0,0,0,0,0,0
ENSG00000239810,0,0,0,0,0,0
ENSG00000231103,0,0,0,0,0,0
ENSG00000179172,3,5,2,4,0,3
ENSG00000120952,0,1,0,0,0,0
ENSG00000243073,0,0,0,0,0,0
ENSG00000187545,0,0,0,0,0,0
ENSG00000204510,0,0,0,0,0,0
ENSG00000207434,0,0,0,0,0,0
ENSG00000234064,0,0,0,0,0,0
ENSG00000232423,0,0,0,0,0,0
ENSG00000274178,0,0,0,0,0,0
ENSG00000274764,0,0,0,0,0,0
ENSG00000229571,0,0,0,0,0,0
ENSG00000277058,0,0,0,0,2,0
ENSG00000277862,0,0,0,0,0,0
ENSG00000236179,0,0,0,0,0,0
ENSG00000275774,4,4,0,0,0,0
ENSG00000229978,0,0,0,0,0,0
ENSG00000233336,0,0,0,0,0,0
ENSG00000280267,0,0,0,0,0,0
ENSG00000179412,1,0,1,0,0,0
ENSG00000204505,0,0,0,0,0,0
ENSG00000279169,0,0,0,0,0,0
ENSG00000279804,0,0,0,0,0,0
ENSG00000250894,0,0,0,0,0,0
ENSG00000270601,0,0,0,0,0,0
ENSG00000231219,0,0,0,0,0,0
ENSG00000207511,0,0,0,0,0,0
ENSG00000182330,0,0,0,0,0,0
ENSG00000204501,0,0,0,0,0,0
ENSG00000237700,0,0,0,0,0,0
ENSG00000228229,0,0,0,0,0,0
ENSG00000204481,0,0,0,0,0,0
ENSG00000204480,0,0,0,0,0,0
ENSG00000204479,0,0,0,0,0,0
ENSG00000204478,0,0,0,0,0,0
ENSG00000162494,12,6,2,21,17,3
ENSG00000259961,0,0,0,0,0,0
ENSG00000215909,0,0,0,0,0,0
ENSG00000162493,4318,3597,2630,3352,3553,3061
ENSG00000237445,0,0,3,0,0,0
ENSG00000253085,0,0,0,0,0,0
ENSG00000116731,713,392,503,593,535,563
ENSG00000189337,364,231,396,432,395,313
ENSG00000252151,0,0,0,0,0,0
ENSG00000231606,0,0,0,0,0,0
ENSG00000234593,0,0,0,0,0,0
ENSG00000235829,0,0,0,0,0,0
ENSG00000175147,37,15,11,21,6,2
ENSG00000171729,815,529,178,386,322,238
ENSG00000204464,0,5,0,0,2,0
ENSG00000215720,0,2,0,0,0,0
ENSG00000278480,3,0,1,2,0,0
ENSG00000142621,37,12,21,35,21,21
ENSG00000233485,0,0,0,0,0,0
ENSG00000236045,2,1,0,2,0,1
ENSG00000228140,0,2,2,3,0,2
ENSG00000142634,1311,1072,575,813,824,750
ENSG00000162438,0,0,1,0,0,0
ENSG00000142615,0,1,1,1,0,0
ENSG00000215704,1,0,1,0,0,1
ENSG00000132906,621,441,306,338,309,301
ENSG00000116138,647,415,433,508,499,440
ENSG00000251866,0,0,0,0,0,0
ENSG00000272510,0,0,2,0,3,0
ENSG00000116771,258,166,138,196,212,226
ENSG00000237301,1,0,6,4,1,0
ENSG00000235084,2,3,5,3,0,2
ENSG00000252417,0,0,0,0,1,0
ENSG00000236500,0,0,0,1,0,0
ENSG00000197312,1683,871,1339,1342,1245,1451
ENSG00000215695,0,0,0,0,0,0
ENSG00000271742,0,0,0,0,0,0
ENSG00000116786,2157,1530,1515,2367,2331,2444
ENSG00000237938,6,3,15,15,7,9
ENSG00000162461,5,5,8,16,11,10
ENSG00000224459,0,0,0,1,0,0
ENSG00000162460,55,53,8,42,31,17
ENSG00000162458,1977,1747,1460,1830,2052,2101
ENSG00000224321,1,0,0,0,3,0
ENSG00000233954,196,217,153,198,274,155
ENSG00000178715,6,10,5,5,5,3
ENSG00000179743,126,125,122,158,181,128
ENSG00000065526,2247,967,1660,1903,1154,1547
ENSG00000270620,0,0,0,0,1,0
ENSG00000116809,500,396,341,496,432,470
ENSG00000234607,0,0,0,0,0,0
ENSG00000231353,0,0,0,0,0,0
ENSG00000275503,0,0,0,0,0,0
ENSG00000224966,0,0,0,0,0,0
ENSG00000183888,0,0,2,0,1,0
ENSG00000233078,0,0,0,0,0,0
ENSG00000173641,7,2,4,2,3,1
ENSG00000186510,14,16,19,6,9,10
ENSG00000232456,7,5,2,2,4,2
ENSG00000184908,80,89,60,76,70,27
ENSG00000185519,44,41,25,89,90,45
ENSG00000142627,680,574,1241,1942,1906,2054
ENSG00000227959,1,0,3,4,4,1
ENSG00000224621,0,0,2,0,3,0
ENSG00000234166,0,0,0,0,0,0
ENSG00000142632,1758,1322,1088,1159,1263,1158
ENSG00000237276,3,6,8,2,1,2
ENSG00000132881,63,45,57,56,56,67
ENSG00000233929,3,9,0,1,4,1
ENSG00000037637,804,479,484,563,633,664
ENSG00000055070,3016,2058,2161,2801,3023,3295
ENSG00000226457,1,1,1,3,3,0
ENSG00000187144,2,1,4,1,4,0
ENSG00000157191,928,625,474,794,806,649
ENSG00000226029,1,5,9,9,19,1
ENSG00000080947,34,34,87,96,51,44
ENSG00000206652,0,0,0,0,0,0
ENSG00000261135,1,4,5,11,6,1
ENSG00000224174,4,7,9,12,13,4
ENSG00000233421,10,3,7,14,5,7
ENSG00000277344,0,0,0,0,0,0
ENSG00000268991,0,0,0,0,0,0
ENSG00000225710,0,0,0,0,0,0
ENSG00000219481,234,167,229,249,199,268
ENSG00000271732,0,0,0,0,0,2
ENSG00000215908,269,174,285,367,246,251
ENSG00000186301,33,43,44,59,36,33
ENSG00000282143,0,0,0,0,0,0
ENSG00000207513,0,0,0,0,0,0
ENSG00000237847,0,0,0,0,0,0
ENSG00000280114,7,2,9,13,11,6
ENSG00000236698,54,27,43,29,40,30
ENSG00000268869,14,10,14,21,9,12
ENSG00000279151,0,0,0,0,1,0
ENSG00000279132,0,0,0,0,0,0
ENSG00000282740,0,0,1,0,0,0
ENSG00000058453,1563,691,1289,1818,772,1412
ENSG00000227684,4,0,4,4,1,0
ENSG00000207389,0,0,0,0,0,0
ENSG00000186715,59,56,56,79,56,44
ENSG00000223643,0,0,0,0,0,0
ENSG00000230239,0,0,0,0,0,0
ENSG00000263811,0,0,0,0,0,0
ENSG00000228549,24,14,22,23,24,21
ENSG00000277234,0,0,0,0,0,0
ENSG00000238142,64,120,94,89,104,74
ENSG00000235241,55,81,55,66,98,56
ENSG00000207005,0,0,1,0,1,0
ENSG00000272426,3,2,8,3,2,1
ENSG00000117122,2728,2654,1484,2877,3097,2427
ENSG00000226526,4,1,2,5,0,0
ENSG00000159363,3544,2530,2362,4585,4077,4368
ENSG00000117118,1166,1149,1022,1230,1670,1256
ENSG00000117115,154,147,274,415,528,355
ENSG00000204362,0,0,1,0,1,0
ENSG00000282843,0,0,0,0,0,0
ENSG00000142623,7,16,45,34,56,34
ENSG00000142619,109,50,88,134,104,47
ENSG00000266634,0,0,0,0,0,0
ENSG00000159339,0,1,7,10,10,6
ENSG00000280226,0,0,0,0,0,0
ENSG00000276747,0,0,0,0,0,0
ENSG00000179051,15569,11422,10968,12179,13244,13935
ENSG00000227751,0,0,0,0,0,0
ENSG00000074964,1345,749,741,911,683,796
ENSG00000236648,0,0,0,0,0,0
ENSG00000117148,8,8,9,12,11,38
ENSG00000261781,0,0,0,0,0,0
ENSG00000117154,330,587,637,986,1214,856
ENSG00000280222,0,1,2,4,3,5
ENSG00000230035,0,0,0,0,0,0
ENSG00000225387,3,2,5,5,8,5
ENSG00000179023,483,393,667,1300,1434,2206
ENSG00000235282,0,0,0,0,0,0
ENSG00000225478,0,0,0,0,0,0
ENSG00000009709,32,12,3,6,2,4
ENSG00000179002,0,0,0,0,0,0
ENSG00000255275,0,1,0,2,1,0
ENSG00000159423,984,952,450,865,896,693
ENSG00000265606,0,0,0,0,0,1
ENSG00000221662,0,0,0,0,0,0
ENSG00000169991,176,137,289,382,381,447
ENSG00000272084,8,13,12,32,26,23
ENSG00000127481,4778,2132,4541,5581,3199,4153
ENSG00000230424,4,1,7,7,6,4
ENSG00000127463,1807,1175,1244,1773,1542,1641
ENSG00000053372,1967,1592,1121,1528,1816,1832
ENSG00000211454,4,1,9,10,7,5
ENSG00000162482,2,9,8,10,4,2
ENSG00000270728,21,14,16,20,14,3
ENSG00000053371,982,728,507,798,868,769
ENSG00000200403,4,0,0,2,0,0
ENSG00000040487,517,383,285,453,467,474
ENSG00000077549,7920,7121,4799,6499,7645,5905
ENSG00000240490,0,0,0,0,0,0
ENSG00000201609,0,0,0,0,0,0
ENSG00000235185,0,0,0,0,0,1
ENSG00000173436,509,768,403,569,763,535
ENSG00000270136,1,0,0,0,2,2
ENSG00000226396,9,11,9,8,10,4
ENSG00000158747,64,87,70,89,121,84
ENSG00000158748,19,25,59,31,27,10
ENSG00000162542,135,103,39,76,62,50
ENSG00000178828,0,0,0,0,0,1
ENSG00000235434,0,0,0,0,0,0
ENSG00000169914,595,263,553,534,340,339
ENSG00000188784,0,0,0,0,0,0
ENSG00000242688,0,0,0,0,0,0
ENSG00000188257,26,33,16,11,7,5
ENSG00000127472,0,0,3,0,1,1
ENSG00000117215,0,0,0,0,0,0
ENSG00000158786,0,0,0,1,0,0
ENSG00000227066,0,0,0,0,0,0
ENSG00000187980,0,0,0,0,1,0
ENSG00000225986,0,4,0,1,2,0
ENSG00000162543,55,29,18,34,31,17
ENSG00000228105,0,0,0,0,0,0
ENSG00000158816,8,3,7,5,3,3
ENSG00000226664,0,0,0,0,0,0
ENSG00000236963,0,0,0,0,0,0
ENSG00000226487,0,0,0,0,0,0
ENSG00000162545,168,252,152,150,184,115
ENSG00000090432,968,721,496,786,780,680
ENSG00000215520,0,0,1,0,1,0
ENSG00000183114,37,89,100,110,163,109
ENSG00000158825,121,115,49,38,49,12
ENSG00000158828,458,201,319,370,358,403
ENSG00000117242,74,70,49,89,82,72
ENSG00000244038,8305,6470,5396,8174,8089,7334
ENSG00000117245,566,340,313,449,358,234
ENSG00000235432,0,0,0,0,1,0
ENSG00000189410,427,315,387,545,422,396
ENSG00000233069,0,0,0,0,0,0
